Width,Height,Eccentricity,Moore Length,Slopes,DirectionSum,Y
16,29,0.551724,74,5,51,4
18,29,0.620690,77,1,15,8
18,29,0.620690,101,2,22,9
18,29,0.620690,119,4,44,5
18,29,0.620690,75,5,51,4
18,29,0.620690,78,0,12,8
18,29,0.620690,101,2,22,9
16,29,0.551724,115,5,45,5
18,29,0.620690,75,5,51,4
18,29,0.620690,78,0,12,8
18,29,0.620690,102,2,22,9
16,29,0.551724,113,5,45,5
18,29,0.620690,77,5,51,4
5,29,0.172414,63,0,12,1
16,29,0.551724,114,5,45,5
6,29,0.206897,65,0,12,1
18,29,0.620690,82,4,40,7
5,29,0.172414,63,0,12,1
18,29,0.620690,120,5,45,5
5,29,0.172414,63,0,12,1
16,29,0.551724,81,4,46,7
6,29,0.206897,64,0,12,1
18,29,0.620690,121,5,45,5
6,29,0.206897,63,0,12,1
18,29,0.620690,86,4,46,7
6,29,0.206897,64,0,12,1
18,29,0.620690,124,3,35,5
6,29,0.206897,64,0,12,1
18,29,0.620690,84,4,40,7
6,29,0.206897,64,0,12,1
18,29,0.620690,123,2,34,5
6,29,0.206897,62,0,12,1
18,29,0.620690,84,4,40,7
5,29,0.172414,63,0,12,1
17,29,0.586207,120,4,44,5
5,29,0.172414,64,0,12,1
17,29,0.586207,83,5,41,7
5,29,0.172414,63,2,30,1
16,29,0.551724,116,5,45,5
5,29,0.172414,64,0,12,1
16,29,0.551724,82,4,46,7
6,29,0.206897,62,1,19,1
17,29,0.586207,121,5,45,5
6,29,0.206897,65,0,12,1
16,29,0.551724,81,4,40,7
5,29,0.172414,62,0,12,1
17,29,0.586207,120,6,42,5
6,29,0.206897,65,0,12,1
18,29,0.620690,85,4,40,7
5,29,0.172414,62,0,12,1
18,29,0.620690,124,2,34,5
6,29,0.206897,63,0,12,1
18,29,0.620690,83,5,41,7
18,29,0.620690,115,4,28,3
6,29,0.206897,61,1,19,1
18,29,0.620690,81,0,12,8
17,29,0.586207,77,6,54,4
17,29,0.586207,112,3,25,3
5,29,0.172414,63,0,12,1
